timestamp,attack_type,original_command,modified_command,cnc_response,detection_status,impact_metric
2025-09-16T14:40:39.161501,none,G0 X50,G0 X50,ok,undetected,0
2025-09-16T14:40:47.358203,none,G28,G28,ok,undetected,0
2025-09-16T14:40:48.585233,none,G28,G28,ok,undetected,0
