timestamp,attack_type,original_command,modified_command,cnc_response,detection_status,impact_metric
2025-09-15T11:48:18.248449,multiple,G0 X10 S500,G0 X10 S500; G1 Y-2 F500,ok,detected,13
2025-09-15T11:48:19.679328,multiple,G0 X10 S500,G0 X10 S500; G1 Y-2 F500,ok,detected,13
