timestamp,attack_type,original_command,modified_command,cnc_response,detection_status,impact_metric
2025-09-15T10:05:02.602858,multiple,G0 X10 S500,G0 X10 S500,ok,undetected,0
2025-09-15T10:05:04.413019,multiple,G0 X10 S500,G0 X10 S500,ok,undetected,0
